Landernnd Giebiete,Geschlecht,Wien,Sonstiges Nieder- Oesterreich,Nieder- Oesterreich niberhaupt,Ober- Oesterreich,Salzburg,Ober- Steiermark,Mittel- Steiermark,Unter- Steiermark
,m.,291.183,70.739,361.922,10.010,1.926,1.612,4371.,1.976
Wien,,318.879,81.610,403.519,11.952,"1,319",1.896,1.253,1.717
,Zus.,610.062,155.379,765.441,21.962,2.845,3..08,taa's,869%
,"m,",26.846,517.211,544.087,8.886,,1.785,481T,
Sonstiges Nieder-Oesterreieh,W.,28.247,533.816,562.063,8.836,517,1.897,2.032,532
,Zus.,55.093,"1,051.057","1,103.150",17.722,1.292,3.682,4.519,1.387
,I.,318.029,387.980,906.009,18.896,2.001,3.897,6.8.8,2.881
Nieder-Oesterreieh nberhanpt,,317.126,618.456,965.582,20.788,1.836,3.793,6.285,2.219
,Zus.,665.155,1.206.436,1.871.591,t8968,2888,7.190,13.143,5.050
,m.,9.051,8.877,10.928,315.415,2.610,1.511,752,479
Ober-Oesterreich,W,,7.090,9.462,864.478,2.531,1.411,501,171
,zus.,4.483,15.967,20.390,709.793,5.141,2.988,1.256,650
,m.,599,8412,1.441,7.815,,470,285,162
Salzbarg,W.,563,614,1.207,7.473,71.228,483,162,19
,zus.,1.162,1.486,2.048,15.285,138.668,933,,223
,W.,701,3.315,4.016,2.600,860,94.858,6.590,2.001
Ober-Steiermark,W.,576,2.011,3.087,2.173,664,99.360,5.148,186
,Zus.,1.277,5.826,7.103,8207,1.524,194.218,11.738,2.928
,m.,3.851,2.570,6.421,1.009,268,5.209,292688,12.205
Mittel-Steiermark.,W.,4.203,2.291,6.491,1.055,319,5.584,251.319,10.866
,zus.,8.054,4.861,12.915,,587,10.793,491.109,23.071
,m.,363,294,657,160,,459,4.158,200.201
Unter-Steiermark,,361,257,618,129,63,16F,4.308,213.126
,zus.,tel,351,1.275,289,129,956,8.466,413.327
,m.,4.915,6.179,11.094,8.769,1.194,100.526,250.515,214.107
Steiermark nberbaupt,W.,5.140,5.059,10.199,3.357,1.016,105.441,260.798,224.919
,Zus.,10.055,11.238,91.213,7.126,2.240,203.987,511.313,439.326
,u.,516,562,1.078,410,206,1.299,1.320,2.860
Kanten,W.,452,404,856,308,164,"1,608",1.019,9.273
,Zus.,968,966,1.934,71s,028,9.907,2.339,5.133
,m.,213,168,411,125,34,136,406,2.205
Krain,W.,264,166,430,116,42,144,418,2.176
,zus.,507,334,841,241,76,280,tes,4.391
,m.,298,140,SEF,,28,,211,1.281
Triest nnd Gebiet,,317,,439,60,22,89,324,673
,zus.,613,262,877,125,,138,535,1.954
,m.,107,53,160,82,6,89,91,183
(orz und Gradisea,W.,116,54,170,25,,,96,115
,zus.,223,201,:30,5,15,so,187,868
,m.,452,229,681,117,99,130,269,501
Istrien,W.,227,83,310,35,12,42,149,215
,zus.,629,312,166,152,41,172,418,719
,m.,828,668,1.491,1.151,878,281,398,814
Nord-Tirol,W.,759,474,1.193,811,853,,246,190
,Zus.,1.587,1.097,2.684,1.962,1.731,521,644,534
,m.,128,70,198,586,132,54,66,112
Snd-Tirol,W,102,75,177,59,33,20,46,
,zus.,230,145,375,645,165,74,112,131
,m.,956,733,1.689,282'1,1.010,338,464,456
Iirol aberhaupt,W.,861,509,1.370,870,886,297,,212
,zus.,1.817,1.242,3.059,209'8,1.896,595,756,66S
,i.,103,101,207,163,71,33,56,31
Vorarlberg,W.,80,,145,131,54,21,21,17
,zus.,183,169,352,,123,,,
